allow,allowed
add,added
appear,appeared
ask,asked
be,was; were
become,became
begin,began
believe,believed
bring,brought
build,built
buy,bought
call,called
Can,could
change,changed
consider,considered
continue,continued
Could,x
come,came
create,created
cut,cut
die,died
do,did
expect,expected
fall,fell
feel,felt
find,found
fold,folded
follow,followed
get,got
give,gave
go,went
grow,grew
happen,happened
have,had
hear,heard
help,helped
hold,held
include,included
keep,kept
kill,killed
know,knew
lead,led
leave,left
learn,learned
let,let
like,liked
look,looked
lose,lost
love,loved
make,made
mean,meant
meet,met
move,moved
May,x
Might,x
Must,x
need,needed
offer,offered
open,opened
pay,paid
play,played
provide,provided
put,put
reach,reached
read,read
remain,remained
remember,remembered
run,ran
say,said
see,saw
seem,seemed
send,sent
serve,served
set,set
Should,x
show,showed
sit,sat
speak,spoke
spend,spent
stand,stood
start,started
stay,stayed
stop,stopped
take,took
talk,talked
tell,told
think,thought
try,tried
turn,turned
understand,understood
use,used
wait,waited
walk,walked
want,wanted
watch,watched
Will,x
win,won
work,worked
Would,x
